time_d,center,inner,outer
0,0,0,0
1,118647.7019,81503.37952,37108.31624
2,151037.4173,112103.1037,55104.93106
3,163745.5621,122229.8039,60547.62379
4,176336.3875,131750.1147,65317.19771
5,209307.843,153160.8578,74741.85346
6,277855.2468,201019.2616,97094.54653
7,374982.025,271689.3665,131298.8183
8,500562.3085,363035.3097,175601.7739
9,617363.1746,454663.2516,222557.1422
10,708253.1056,525317.2281,258789.5451
11,789206.5265,587149.2253,290037.3672
12,896369.7659,663364.8392,326428.9941
13,1047595.48,772986.3873,379368.2625
14,1239751.764,913582.9093,447848.6333
15,1442021.178,1066984.264,524646.9975
16,1642706.277,1218058.452,600067.9229
17,1854761.259,1376585.061,678731.0342
18,2102104.216,1558318.1,767684.8663
19,2397753.309,1776307.989,874558.1711
20,2742667.713,2031227.28,999803.0701